ticker,cik,company,sector,subsector,country,priority_rank,dqs_total,specific_ai_revenue,ai_capex,segment_breakdown,named_products,forward_capex_guidance,risk_factors,generic_penalty,talk_show_ratio,notes
MSFT,789019,Microsoft,bigtech,hyperscaler,US,1,,,,,,,,,20.00,
GOOGL,1652044,Alphabet,bigtech,hyperscaler,US,2,,,,,,,,,21.14,
META,1326801,Meta,bigtech,hyperscaler,US,3,,,,,,,,,15.00,
AMZN,1018724,Amazon,bigtech,hyperscaler,US,4,,,,,,,,,250.00,
AAPL,320193,Apple,bigtech,consumer-hw,US,5,,,,,,,,,,
ORCL,1341439,Oracle,bigtech,cloud,US,6,,,,,,,,,22.71,
NVDA,1045810,Nvidia,bigtech,ai-infra,US,7,,,,,,,,,27.50,
IBM,51143,IBM,bigtech,enterprise,US,8,,,,,,,,,,
ADBE,796343,Adobe,bigtech,creative-saas,US,9,,,,,,,,,14.00,
CRM,1108524,Salesforce,bigtech,enterprise-saas,US,10,,,,,,,,,24.00,
PLTR,1321655,Palantir,ai-native,enterprise-ai,US,11,,,,,,,,,11.83,
AI,1640750,C3.AI,ai-native,enterprise-ai,US,12,,,,,,,,,,
BBAI,1836492,BigBear.ai,ai-native,gov-defense,US,13,,,,,,,,,,
SOUN,1840856,SoundHound AI,ai-native,voice-ai,US,14,,,,,,,,,,
INOD,903651,Innodata,ai-native,ai-data-services,US,15,,,,,,,,,,
VERI,1615666,Veritone,ai-native,media-ai,US,16,,,,,,,,,,
SNOW,1640147,Snowflake,cloud-infra,data-warehouse,US,17,,,,,,,,,12.73,
MDB,1441816,MongoDB,cloud-infra,database,US,18,,,,,,,,,,
NOW,1373715,ServiceNow,cloud-infra,enterprise-saas,US,19,,,,,,,,,44.50,
WDAY,1327811,Workday,cloud-infra,hcm-saas,US,20,,,,,,,,,,
DDOG,1561550,Datadog,cloud-infra,observability,US,21,,,,,,,,,,
TEAM,1650372,Atlassian,cloud-infra,dev-tools,AU,22,,,,,,,,,,
NET,1477333,Cloudflare,cloud-infra,edge-compute,US,23,,,,,,,,,12.38,
GTLB,1653482,GitLab,cloud-infra,dev-tools,US,24,,,,,,,,,,
ESTC,1707753,Elastic,cloud-infra,search,NL,25,,,,,,,,,,
HUBS,1404655,HubSpot,saas,marketing-saas,US,26,,,,,,,,,20.00,
ZM,1585521,Zoom,saas,collab,US,27,,,,,,,,,,
BOX,1372612,Box,saas,collab,US,28,,,,,,,,,,
ASAN,1477720,Asana,saas,workmgmt,US,29,,,,,,,,,,
TWLO,1447669,Twilio,saas,comms-api,US,30,,,,,,,,,,
COUP,1385867,Coupa,saas,spend-mgmt,US,31,,,,,,,,,,
VEEV,1393052,Veeva Systems,saas,vertical-saas,US,32,,,,,,,,,,
JPM,19617,JPMorgan,finance,bank-money-center,US,33,,,,,,,,,,
BAC,70858,Bank of America,finance,bank-money-center,US,34,,,,,,,,,,
WFC,72971,Wells Fargo,finance,bank-money-center,US,35,,,,,,,,,,
MS,895421,Morgan Stanley,finance,investment-bank,US,36,,,,,,,,,,
V,1403161,Visa,finance,payments,US,37,,,,,,,,,,
MA,1141391,Mastercard,finance,payments,US,38,,,,,,,,,90.00,
AXP,4962,American Express,finance,payments,US,39,,,,,,,,,,
C,831001,Citigroup,finance,bank-money-center,US,40,,,,,,,,,,
WMT,104169,Walmart,consumer,retail,US,41,,,,,,,,,,
PG,80424,Procter & Gamble,consumer,cpg,US,42,,,,,,,,,,
TSLA,1318605,Tesla,auto,ev-auto,US,43,,,,,,,,,,
DIS,1744489,Disney,consumer,media-entertainment,US,44,,,,,,,,,,
NFLX,1065280,Netflix,consumer,streaming,US,45,,,,,,,,,,
VRNT,1166388,Verint Systems,enterprise-ai,cx-ai,US,46,,,,,,,,,,
PATH,1734722,UiPath,enterprise-ai,rpa-agentic,US,47,,,,,,,,,,
S,1583708,SentinelOne,security-ai,endpoint,US,48,,,,,,,,,,
CRWD,1535527,CrowdStrike,security-ai,endpoint,US,49,,,,,,,,,306.00,
SAP,1000184,SAP,bigtech,enterprise-erp,DE,50,,,,,,,,,,
